,Compound,Tc(K),Pc(MPa),w,Zc,CP/R,? (g/ml),molar mass,molar density
1,METHANE,190.6,4.604,0.011,0.288,4.298,0.29,16.04,62.34413965
2,ETHANE,305.4,4.88,0.099,0.284,6.312,0.43,30.07,33.25573661
3,PROPANE,369.8,4.249,0.152,0.281,8.851,0.58,44.1,22.67573696
4,BUTANE,425.2,3.797,0.193,0.274,11.89,0.6,58.12,17.20578114
5,ISOBUTANE,408.1,3.648,0.177,0.282,11.695,0.55,58.12,17.20578114
7,PENTANE,469.7,3.369,0.249,0.269,14.446,0.62,72.15,13.86001386
8,ISOPENTANE,460.4,3.381,0.228,0.27,,0.62,72.15,13.86001386
9,NEOPENTANE,433.8,3.199,0.196,0.269,,0.6,72.15,13.86001386
11,HEXANE,507.4,3.012,0.305,0.264,17.212,0.66,86.18,11.60362033
17,HEPTANE,540.3,2.736,0.349,0.263,19.954,0.68,100.21,9.979044008
27,OCTANE,568.8,2.486,0.396,0.259,22.697,0.7,114.23,8.754267706
27,ISOOCTANE,544,2.57,0.303,,22.5,0.7,114.23,8.754267706
46,NONANE,595.7,2.306,0.437,0.255,25.451,0.71,128.2,7.800312012
56,DECANE,618.5,2.123,0.484,0.249,28.217,0.73,142.29,7.027900766
64,DODECANE,658.2,1.824,0.575,0.238,,0.75,170.34,5.870611718
66,TETRADECANE,696.9,1.438,0.57,0.203,,0.76,198.39,5.040576642
68,HEXADECANE,720.6,1.419,0.747,0.22,44.539,0.77,226.41,4.416766044
104,CYCLOPENTANE,511.8,4.502,0.194,0.273,9.974,0.74,70.1,14.26533524
105,METHYLCYCLOPENTANE,532.8,3.785,0.23,0.272,,0.74,84.16,11.88212928
137,CYCLOHEXANE,553.5,4.075,0.215,0.273,12.738,0.77,84.16,11.88212928
138,METHYLCYCLOHEXANE,572.2,3.471,0.235,0.269,16.25,0.77,98.186,10.18475139
153,DECALIN,703.6,3.2,0.279,,20.04,0.89,138.25,7.233273056
201,ETHYLENE,282.4,5.032,0.085,0.277,5.26,0.43,28.05,35.65062389
202,PROPYLENE,364.8,4.613,0.142,0.275,7.688,0.61,42.08,23.76425856
204,1-BUTENE,419.6,4.02,0.187,0.276,10.306,0.63,56.12,17.81895937
207,ISOBUTENE,417.9,3.999,0.189,0.275,10.724,0.59,56.12,17.81895937
209,1-PENTENE,464.8,3.529,0.233,0.27,,0.63,70.14,14.25719989
401,ACETYLENE,308.3,6.139,0.187,0.271,5.32,0.5,26.04,38.40245776
303,"1,3-BUTADIENE",425.4,4.33,0.193,0.27,9.56,0.65,54.0196,18.51179942
309,ISOPRENE,484,3.85,0.158,0.264,,0.68,68.12,14.67997651
501,BENZENE,562.2,4.898,0.211,0.271,9.822,0.87,78.11,12.80245807
502,TOLUENE,591.8,4.109,0.264,0.264,12.485,0.86,92.14,10.85304971
504,ETHYLBENZENE,617.2,3.609,0.304,0.263,15.444,0.86,106.17,9.418856551
505,o-XYLENE,630.4,3.734,0.313,0.263,16.033,0.88,106.16,9.419743783
506,m-XYLENE,617.1,3.541,0.326,0.259,15.348,0.86,106.16,9.419743783
507,p-XYLENE,616.3,3.511,0.326,0.26,15.263,0.86,106.16,9.419743783
510,CUMENE,631.2,3.209,0.338,0.262,18.246,0.86,120.19,8.320159747
558,BIPHENYL,789.3,3.847,0.366,0.294,19.521,0.99,154.21,6.48466377
563,DIPHENYLMETHANE,768,2.92,0.461,0.25,,1,168.234,5.944101668
701,NAPHTHALENE,748.4,4.051,0.302,0.269,16.033,0.98,128.1705,7.802107349
702,METHYLNAPHTHALENE,772,3.65,0.292,0.297,,1.02,142.2,7.032348805
706,TETRALIN,720.2,3.3,0.286,0.243,18.631,0.97,132.21,7.563724378
1101,METHANOL,512.6,8.096,0.566,0.224,5.283,0.79,32.04,31.21098627
1102,ETHANOL,516.4,6.384,0.637,0.248,7.879,0.79,46.06844,21.70683444
1103,PROPANOL,536.7,5.17,0.628,0.253,10.496,0.8,60.09502,16.64031396
1104,ISOPROPANOL,508.3,4.764,0.669,0.248,10.69,0.78,60.09502,16.64031396
1105,1-BUTANOL,562.9,4.412,0.594,0.259,,0.81,74.12,13.49163519
1107,ISOBUTANOL,547.7,4.295,0.589,0.257,,0.8,47.12,21.22241087
1479,THF,501.1,5.19,0.217,0.259,,0.88,72.11,13.86770212
1402,DIETHYL ETHER,466.7,3.59,0.281,0.262,13.531,0.71,74.12,13.49163519
1444,ETHYLENE OXIDE,469,7.1,0.2,0.258,,0.89,44.05,22.7014756
1052,METHYL ETHYL KETONE,535.6,4.1,0.329,0.249,12.557,0.8,72.11,13.86770212
1601,FREON-12,385,4.07,0.176,0.28,,1.49,120.91,8.270614507
2650,FREON-134A,347.2,4.06,0.327,,10.2,1.37,102.03,9.80103891
,FREON-22,369.8,4.97,0.221,0.268,,3.66,86.47,11.56470452
,FREON-11,471.2,4.35,0.188,0.279,,1.49,137.37,7.279609813
,FREON-113,487.2,3.37,0.252,0.256,,1.56,187.375,5.336891261
1504,VINYL CHLORIDE,420,5.68,0.1001,,6.46,0.97,62.498,16.00051202
1502,METHYL CHLORIDE,416.3,6.59,0.156,0.268,,1.01,50.49,19.80590216
1521,CHLOROFORM,536.4,5.4,0.216,0.293,,1.48,119.38,8.376612498
1501,CARBON TETRACHLORIDE,556.4,4.5,0.194,0.272,,1.58,153.82,6.501105188
1551,CHLOROBENZENE,632.4,4.46,0.249,0.265,,1.1,112.56,8.884150675
914,ARGON,150.9,4.898,-0.004,0.291,2.499,0.7,39.948,25.0325423
922,BROMINE,584.2,10.335,0.119,0.287,,3.1,159.808,6.257509011
918,CHLORINE,417.2,7.711,0.069,0.275,,1.56,70.9,14.10437236
913,HELIUM-4,5.2,0.228,0,0.302,2.501,0.12,4,250
